# Ar+ + Ar ion cross sections (energy column: relative/CM energy)
# Source: Phelps database, www.lxcat.net, retrieved 21 Aug 2026
# Reference: A. V. Phelps, J. Appl. Phys. 76, 747 (1994) / private communication
# backscat: backscattering (charge-transfer-like), isotropic: isotropic elastic
process,energy_eV,sigma_m2
isotropic,7.400000e+01,5.519310e-21
isotropic,8.800000e+01,4.434790e-21
isotropic,1.000000e+02,3.771100e-21
isotropic,1.200000e+02,2.989980e-21
isotropic,1.400000e+02,2.455490e-21
isotropic,1.600000e+02,2.069450e-21
isotropic,1.900000e+02,1.659700e-21
isotropic,2.200000e+02,1.374390e-21
isotropic,2.600000e+02,1.108150e-21
isotropic,3.100000e+02,8.830350e-22
isotropic,3.700000e+02,7.024820e-22
isotropic,4.400000e+02,5.613510e-22
isotropic,5.200000e+02,4.521060e-22
isotropic,6.200000e+02,3.599120e-22
isotropic,7.400000e+02,2.860880e-22
isotropic,8.800000e+02,2.284600e-22
isotropic,1.000000e+03,1.935120e-22
isotropic,1.200000e+03,1.527010e-22
isotropic,1.400000e+03,1.249800e-22
isotropic,1.600000e+03,1.050650e-22
isotropic,1.900000e+03,8.402860e-23
isotropic,2.100000e+03,7.377500e-23
isotropic,2.600000e+03,5.588350e-23
isotropic,3.100000e+03,4.445570e-23
isotropic,3.700000e+03,3.531620e-23
isotropic,4.400000e+03,2.818910e-23
isotropic,5.200000e+03,2.268270e-23
isotropic,6.200000e+03,1.804310e-23
isotropic,7.400000e+03,1.433300e-23
isotropic,8.800000e+03,1.144000e-23
isotropic,1.000000e+04,9.687080e-24
