time_s,voltage_V
3.441494591900000e-08,-151.210933890
3.461979678800000e-08,-152.478214008
3.482464765700000e-08,-153.818324113
3.502949852500000e-08,-155.226882240
3.523434939400000e-08,-156.698899004
3.543920026200000e-08,-158.228822464
3.564405113100000e-08,-159.810587812
3.584890199900000e-08,-161.437671453
3.605375286800000e-08,-163.103149009
3.625860373600000e-08,-164.799756739
3.646345460500001e-08,-166.519955879
3.666830547400000e-08,-168.255999305
3.687315634200001e-08,-170.000000000
3.707800721100000e-08,-171.744000695
3.728285807900000e-08,-173.480044121
3.748770894800000e-08,-175.200243261
3.769255981600000e-08,-176.896850991
3.789741068500000e-08,-178.562328547
3.810226155400001e-08,-180.189412188
3.830711242200000e-08,-181.771177536
3.851196329100000e-08,-183.301100996
3.871681415900000e-08,-184.773117760
3.892166502800000e-08,-186.181675887
3.912651589600001e-08,-187.521785992
3.933136676500000e-08,-188.789066110
3.953621763400001e-08,-189.979781364
3.974106850200000e-08,-191.090878068
3.994591937100000e-08,-192.120011981
4.015077023900001e-08,-193.065570455
4.035562110800001e-08,-193.926688278
4.056047197600000e-08,-194.703257061
4.076532284500000e-08,-195.395928083
4.097017371400000e-08,-196.006108543
4.117502458200000e-08,-196.535951251
4.137987545100000e-08,-196.988337814
4.158472631900000e-08,-197.366855447
4.178957718800001e-08,-197.675767602
4.199442805600000e-08,-197.919978622
4.219927892500000e-08,-198.104992729
4.240412979400000e-08,-198.236867658
4.260898066200000e-08,-198.322163326
4.281383153100000e-08,-198.367885945
4.301868239900000e-08,-198.381428050
4.322353326800000e-08,-198.370504927
4.342838413600000e-08,-198.343087980
4.363323500500001e-08,-198.307335571
4.383808587300000e-08,-198.271521935
4.404293674200001e-08,-198.243964752
4.424778761100001e-08,-198.232951984
4.445263847900000e-08,-198.246668607
4.465748934800000e-08,-198.293123851
4.486234021600000e-08,-198.380079562
4.506719108500000e-08,-198.514980328
4.527204195300000e-08,-198.704885930
4.547689282200000e-08,-198.956406743
4.568174369100000e-08,-199.275642624
4.588659455900000e-08,-199.668125840
4.609144542800000e-08,-200.138768534
4.629629629600001e-08,-200.691815209
4.650114716500000e-08,-201.330800655
4.670599803300000e-08,-202.058513717
4.691084890200000e-08,-202.876967240
4.711569977100000e-08,-203.787374495
4.732055063900000e-08,-204.790132318
4.752540150800001e-08,-205.884811159
4.773025237600001e-08,-207.070152170
4.793510324500000e-08,-208.344071409
4.813995411300000e-08,-209.703671173
4.834480498200000e-08,-211.145258422
4.854965585100000e-08,-212.664370192
4.875450671900000e-08,-214.255805834
4.895935758800001e-08,-215.913665875
4.916420845600000e-08,-217.631397208
4.936905932500000e-08,-219.401844303
4.957391019300001e-08,-221.217306051
4.977876106200000e-08,-223.069597816
4.998361193100000e-08,-224.950118219
5.018846279900001e-08,-226.849920143
5.039331366800000e-08,-228.759785395
5.059816453600000e-08,-230.670302451
5.080301540500000e-08,-232.571946640
5.100786627300000e-08,-234.455162156
5.121271714200001e-08,-236.310445200
5.141756801000000e-08,-238.128427595
5.162241887900000e-08,-239.899960179
5.182726974800000e-08,-241.616195274
5.203212061600000e-08,-243.268667548
5.223697148500000e-08,-244.849372586
5.244182235300000e-08,-246.350842486
5.264667322200000e-08,-247.766217832
5.285152409000000e-08,-249.089315411
5.305637495900000e-08,-250.314691064
5.326122582800000e-08,-251.437697111
5.346607669600001e-08,-252.454533799
5.367092756500000e-08,-253.362294297
5.387577843300000e-08,-254.159002790
5.408062930200000e-08,-254.843645272
5.428548017000000e-08,-255.416192707
5.449033103900000e-08,-255.877616265
5.469518190800001e-08,-256.229894422
5.490003277600001e-08,-256.476011753
5.510488364500001e-08,-256.619949327
5.530973451300000e-08,-256.666666667
5.551458538200000e-08,-256.622075311
5.571943625000001e-08,-256.493004080
5.592428711900000e-08,-256.287156208
5.612913798800000e-08,-256.013058570
5.633398885600000e-08,-255.680003307
5.653883972500000e-08,-255.297982200
5.674369059300000e-08,-254.877614210
5.694854146200000e-08,-254.430066667
5.715339233000001e-08,-253.966970622
5.735824319900001e-08,-253.500330960
5.756309406800000e-08,-253.042431883
5.776794493600000e-08,-252.605738444
5.797279580500000e-08,-252.202794831
5.817764667300000e-08,-251.846120137
5.838249754200001e-08,-251.548102397
5.858734841000000e-08,-251.320891656
5.879219927900001e-08,-251.176292892
5.899705014700001e-08,-251.125659594
5.920190101600000e-08,-251.179788814
5.940675188500000e-08,-251.348818518
5.961160275300000e-08,-251.642128023
5.981645362200000e-08,-252.068242335
6.002130449000001e-08,-252.634741134
6.022615535900000e-08,-253.348173175
6.043100622700000e-08,-254.213976804
6.063585709600000e-08,-255.236407266
6.084070796500000e-08,-256.418471438
6.104555883300001e-08,-257.761870578
6.125040970200001e-08,-259.266951604
6.145526057000000e-08,-260.932667397
6.166011143900000e-08,-262.756546533
6.186496230700000e-08,-264.734672784
6.206981317600000e-08,-266.861674682
